run,model,train_size,fit,predict,score
1,LR,0.1,0.0036847591400146484,0.000102996826171875,0.44285714285714284
1,SVM,0.1,0.0005791187286376953,7.605552673339844e-05,0.2264957264957265
1,MNB,0.1,0.0004642009735107422,5.7697296142578125e-05,0.4340852130325814
1,DT,0.1,0.0002868175506591797,7.724761962890625e-05,0.21428571428571427
1,RF,0.1,0.039569854736328125,0.002931833267211914,0.44285714285714284
1,KNN,0.1,0.00015687942504882812,0.000514984130859375,0.20346320346320346
1,BC,0.1,0.0005888938903808594,0.0005772113800048828,0.44285714285714284
1,LR,0.2,0.003820180892944336,6.29425048828125e-05,0.4144736842105263
1,SVM,0.2,0.0005049705505371094,7.200241088867188e-05,0.2638888888888889
1,MNB,0.2,0.0002827644348144531,3.886222839355469e-05,0.3619047619047619
1,DT,0.2,0.00021076202392578125,6.222724914550781e-05,0.37244897959183676
1,RF,0.2,0.0365910530090332,0.002889871597290039,0.4144736842105263
1,KNN,0.2,0.0001380443572998047,0.0005040168762207031,0.22486772486772488
1,BC,0.2,0.0005311965942382812,0.0005538463592529297,0.4144736842105263
1,LR,0.3,0.004367828369140625,3.814697265625e-05,0.6666666666666666
1,SVM,0.3,0.0005340576171875,7.414817810058594e-05,0.7714285714285715
1,MNB,0.3,0.00028705596923828125,3.790855407714844e-05,0.4761904761904762
1,DT,0.3,0.00021600723266601562,6.103515625e-05,0.6666666666666666
1,RF,0.3,0.03668808937072754,0.0027627944946289062,0.6666666666666666
1,KNN,0.3,0.00012302398681640625,0.0004646778106689453,0.4761904761904762
1,BC,0.3,0.0005362033843994141,0.0005259513854980469,0.42857142857142855
1,LR,0.4,0.0050048828125,3.695487976074219e-05,0.875
1,SVM,0.4,0.0005712509155273438,8.177757263183594e-05,0.6972222222222223
1,MNB,0.4,0.0002911090850830078,3.886222839355469e-05,0.6749999999999999
1,DT,0.4,0.00021076202392578125,5.888938903808594e-05,0.875
1,RF,0.4,0.03969883918762207,0.0029740333557128906,0.6071428571428571
1,KNN,0.4,0.00014829635620117188,0.0004999637603759766,0.6749999999999999
1,BC,0.4,0.0005202293395996094,0.0005738735198974609,1.0
1,LR,0.5,0.005023956298828125,4.029273986816406e-05,0.7698412698412699
1,SVM,0.5,0.0005958080291748047,8.702278137207031e-05,0.7806637806637806
1,MNB,0.5,0.0003116130828857422,4.00543212890625e-05,0.7698412698412699
1,DT,0.5,0.00022983551025390625,6.103515625e-05,0.5476190476190477
1,RF,0.5,0.03701615333557129,0.0027608871459960938,0.7698412698412699
1,KNN,0.5,0.0001289844512939453,0.0004858970642089844,0.5238095238095238
1,BC,0.5,0.000492095947265625,0.0005521774291992188,0.7826617826617827
1,LR,0.6,0.006623029708862305,3.814697265625e-05,0.6936507936507936
1,SVM,0.6,0.0007302761077880859,0.00010585784912109375,0.6936507936507936
1,MNB,0.6,0.0003132820129394531,3.886222839355469e-05,0.6936507936507936
1,DT,0.6,0.0002338886260986328,5.984306335449219e-05,0.5265306122448979
1,RF,0.6,0.038048744201660156,0.0028829574584960938,0.8238095238095238
1,KNN,0.6,0.00016689300537109375,0.00055694580078125,0.6936507936507936
1,BC,0.6,0.0005660057067871094,0.0005922317504882812,0.7000000000000001
1,LR,0.7,0.006297111511230469,3.981590270996094e-05,0.8523809523809524
1,SVM,0.7,0.0007600784301757812,0.000102996826171875,0.7428571428571429
1,MNB,0.7,0.0003199577331542969,4.00543212890625e-05,0.7428571428571429
1,DT,0.7,0.00024700164794921875,6.103515625e-05,0.8571428571428571
1,RF,0.7,0.03826594352722168,0.0028159618377685547,0.9238095238095239
1,KNN,0.7,0.00013709068298339844,0.0004999637603759766,0.6462585034013605
1,BC,0.7,0.0005788803100585938,0.0005941390991210938,0.8523809523809524
1,LR,0.8,0.007547140121459961,4.100799560546875e-05,1.0
1,SVM,0.8,0.0008418560028076172,0.00010919570922851562,1.0
1,MNB,0.8,0.00032806396484375,3.981590270996094e-05,0.8095238095238095
1,DT,0.8,0.0002560615539550781,5.984306335449219e-05,0.8095238095238095
1,RF,0.8,0.03809309005737305,0.00286102294921875,0.8095238095238095
1,KNN,0.8,0.00014281272888183594,0.0005109310150146484,0.7142857142857143
1,BC,0.8,0.0005350112915039062,0.000553131103515625,0.8095238095238095
1,LR,0.9,0.007719278335571289,4.887580871582031e-05,0.9238095238095239
1,SVM,0.9,0.0008838176727294922,0.0001201629638671875,0.9238095238095239
1,MNB,0.9,0.00032591819763183594,3.695487976074219e-05,0.9238095238095239
1,DT,0.9,0.0002849102020263672,6.604194641113281e-05,0.7095238095238096
1,RF,0.9,0.04034924507141113,0.0030939579010009766,0.8285714285714285
1,KNN,0.9,0.00015306472778320312,0.0005428791046142578,0.780952380952381
1,BC,0.9,0.0005788803100585938,0.0006101131439208984,0.9238095238095239
1,LR,1.0,0.007904767990112305,5.412101745605469e-05,1.0
1,SVM,1.0,0.0010349750518798828,0.00012111663818359375,1.0
1,MNB,1.0,0.0003631114959716797,3.981590270996094e-05,0.8888888888888888
1,DT,1.0,0.0002741813659667969,6.198883056640625e-05,1.0
1,RF,1.0,0.03980898857116699,0.002839803695678711,1.0
1,KNN,1.0,0.0001442432403564453,0.0005240440368652344,0.619047619047619
1,BC,1.0,0.0005297660827636719,0.0005340576171875,0.7142857142857143
2,LR,0.1,0.002973318099975586,3.790855407714844e-05,0.49817260237428307
2,SVM,0.1,0.0004127025604248047,6.127357482910156e-05,0.3527687998276234
2,MNB,0.1,0.00026297569274902344,3.600120544433594e-05,0.49817260237428307
2,DT,0.1,0.00018095970153808594,5.91278076171875e-05,0.44727891156462585
2,RF,0.1,0.0373539924621582,0.0028181076049804688,0.4995331465919701
2,KNN,0.1,0.0001609325408935547,0.0005209445953369141,0.06901311249137336
2,BC,0.1,0.0005440711975097656,0.0005829334259033203,0.5111111111111112
