epoch,score,loss,model,run
1.0,0.9846153846153847,0.11240746953129192,Born,0
2.0,0.9969230769230769,0.04884515536489828,Born,0
3.0,1.0,0.026180845149186074,Born,0
4.0,1.0,0.016097910366529626,Born,0
5.0,1.0,0.010429023081498881,Born,0
6.0,1.0,0.007290094046512191,Born,0
7.0,1.0,0.00526417204145107,Born,0
8.0,1.0,0.0039358202711381575,Born,0
9.0,1.0,0.002957915833351317,Born,0
10.0,1.0,0.0023154404704205885,Born,0
11.0,1.0,0.0018567439447755422,Born,0
12.0,1.0,0.0014577255643623739,Born,0
13.0,1.0,0.0011988240183145218,Born,0
14.0,1.0,0.0009824959885889005,Born,0
15.0,1.0,0.0007813738447656512,Born,0
16.0,1.0,0.0006494812333653761,Born,0
17.0,1.0,0.000541892335596584,Born,0
18.0,1.0,0.00042742215986711597,Born,0
19.0,1.0,0.000342629376678035,Born,0
20.0,1.0,0.0002838310820046268,Born,0
1.0,0.8855384615384615,0.3143582418154102,SoftMax,0
2.0,0.9292307692307692,0.21145680709761847,SoftMax,0
3.0,0.9556923076923077,0.15866545510480892,SoftMax,0
4.0,0.9723076923076923,0.1260008935181191,SoftMax,0
5.0,0.9809230769230769,0.10397206064554775,SoftMax,0
6.0,0.9846153846153847,0.08820860167579737,SoftMax,0
7.0,0.9889230769230769,0.07591020348608929,SoftMax,0
8.0,0.9913846153846154,0.06644297908910224,SoftMax,0
9.0,0.9926153846153846,0.05915451355827147,SoftMax,0
10.0,0.9938461538461538,0.05260390045074429,SoftMax,0
11.0,0.9938461538461538,0.04729158508503159,SoftMax,0
12.0,0.9950769230769231,0.04289189695365547,SoftMax,0
13.0,0.9950769230769231,0.03903738581901332,SoftMax,0
14.0,0.9956923076923077,0.03575108898294929,SoftMax,0
15.0,0.9956923076923077,0.032789814804104284,SoftMax,0
16.0,0.9963076923076923,0.030224577353384106,SoftMax,0
17.0,0.9963076923076923,0.02797294996875794,SoftMax,0
18.0,0.9969230769230769,0.02586459111482676,SoftMax,0
19.0,0.9969230769230769,0.024085623140352723,SoftMax,0
20.0,0.9969230769230769,0.022492102695625838,SoftMax,0
1.0,0.9464615384615385,0.19963629574969557,BC,0
2.0,0.9464615384615385,0.19963629574969557,BC,0
3.0,0.9464615384615385,0.19963629574969557,BC,0
4.0,0.9464615384615385,0.19963629574969557,BC,0
5.0,0.9464615384615385,0.19963629574969557,BC,0
6.0,0.9464615384615385,0.19963629574969557,BC,0
7.0,0.9464615384615385,0.19963629574969557,BC,0
8.0,0.9464615384615385,0.19963629574969557,BC,0
9.0,0.9464615384615385,0.19963629574969557,BC,0
10.0,0.9464615384615385,0.19963629574969557,BC,0
11.0,0.9464615384615385,0.19963629574969557,BC,0
12.0,0.9464615384615385,0.19963629574969557,BC,0
13.0,0.9464615384615385,0.19963629574969557,BC,0
14.0,0.9464615384615385,0.19963629574969557,BC,0
15.0,0.9464615384615385,0.19963629574969557,BC,0
16.0,0.9464615384615385,0.19963629574969557,BC,0
17.0,0.9464615384615385,0.19963629574969557,BC,0
18.0,0.9464615384615385,0.19963629574969557,BC,0
19.0,0.9464615384615385,0.19963629574969557,BC,0
20.0,0.9464615384615385,0.19963629574969557,BC,0
1.0,0.9827692307692307,0.044490434785140295,BC+Born,0
2.0,0.9938461538461538,0.024219313842954483,BC+Born,0
3.0,0.9969230769230769,0.014145546480235844,BC+Born,0
4.0,0.9969230769230769,0.009222423912022482,BC+Born,0
5.0,0.9975384615384615,0.006598041234835928,BC+Born,0
6.0,0.9981538461538462,0.00519348698676302,BC+Born,0
7.0,0.9987692307692307,0.003593684940782394,BC+Born,0
8.0,0.9993846153846154,0.0026616676244820355,BC+Born,0
9.0,1.0,0.0017429483986260606,BC+Born,0
10.0,1.0,0.001373070493821352,BC+Born,0
11.0,1.0,0.0008836620959563697,BC+Born,0
12.0,1.0,0.0006155132226498386,BC+Born,0
13.0,1.0,0.00050160564119614,BC+Born,0
14.0,1.0,0.00036722420286120573,BC+Born,0
15.0,1.0,0.00029816884058996766,BC+Born,0
16.0,1.0,0.00023782525402652022,BC+Born,0
17.0,1.0,0.00016772468044873561,BC+Born,0
18.0,1.0,0.00014479061718201397,BC+Born,0
19.0,1.0,0.00016120000876340462,BC+Born,0
20.0,1.0,0.00012575380442327746,BC+Born,0
1.0,0.963076923076923,0.14824171104539619,Born,1
2.0,0.9926153846153846,0.06649550126371533,Born,1
3.0,0.9981538461538462,0.04323662975075058,Born,1
4.0,1.0,0.025538857152245922,Born,1
5.0,1.0,0.01812370636669127,Born,1
6.0,1.0,0.013363148616549256,Born,1
7.0,1.0,0.010102559121391191,Born,1
8.0,1.0,0.007860722247223279,Born,1
9.0,1.0,0.006047245895496267,Born,1
10.0,1.0,0.004904794510206371,Born,1
11.0,1.0,0.003919647960556066,Born,1
12.0,1.0,0.003271979554188805,Born,1
