run,model,train_size,fit,predict,score
1,LR,0.1,12.288349866867065,0.030074596405029297,0.4669410515135422
1,SVM,0.1,3.6700057983398438,12.771006345748901,0.401619755708975
1,MNB,0.1,0.04340958595275879,0.024271249771118164,0.3355018587360595
1,DT,0.1,1.2750685214996338,0.01116180419921875,0.3586032926181625
1,RF,0.1,2.0274276733398438,0.5895724296569824,0.5541688794476899
1,KNN,0.1,0.0022716522216796875,1.2003414630889893,0.2497344662772172
1,BC,0.1,0.01162576675415039,0.09313201904296875,0.7835900159320234
1,LR,0.2,26.485174655914307,0.02727031707763672,0.6167020711630377
1,SVM,0.2,14.446654796600342,26.265042543411255,0.5638608603292619
1,MNB,0.2,0.07157015800476074,0.027843952178955078,0.38542219861922467
1,DT,0.2,3.4233522415161133,0.012542963027954102,0.4178173127987254
1,RF,0.2,5.269529342651367,0.7141456604003906,0.6249336165693044
1,KNN,0.2,0.0037107467651367188,2.2001662254333496,0.3412108337758895
1,BC,0.2,0.020473241806030273,0.10250973701477051,0.8112055231014339
1,LR,0.3,38.55298161506653,0.030463218688964844,0.6862719065321295
1,SVM,0.3,32.09826993942261,40.32912302017212,0.6460435475305364
1,MNB,0.3,0.09833908081054688,0.030547142028808594,0.5268189060010622
1,DT,0.3,6.039356470108032,0.013252019882202148,0.46309081253319173
1,RF,0.3,9.545759916305542,0.7977807521820068,0.6574614976101965
1,KNN,0.3,0.004893302917480469,3.0722413063049316,0.3878120021242698
1,BC,0.3,0.029427766799926758,0.11927199363708496,0.8304567180031864
1,LR,0.4,55.40731120109558,0.03213644027709961,0.7124269782262347
1,SVM,0.4,56.14739441871643,54.21387314796448,0.6836165693043016
1,MNB,0.4,0.11892080307006836,0.03477787971496582,0.6147105682421667
1,DT,0.4,8.69963788986206,0.013883113861083984,0.4681359532660648
1,RF,0.4,14.73874282836914,0.8449885845184326,0.6731279872543813
1,KNN,0.4,0.006363630294799805,4.2237255573272705,0.4235262878385555
1,BC,0.4,0.03747868537902832,0.12552714347839355,0.847052575677111
1,LR,0.5,68.15279006958008,0.03315091133117676,0.7395114179500797
1,SVM,0.5,87.83021473884583,68.65400266647339,0.6978226234731811
1,MNB,0.5,0.15369105339050293,0.0328524112701416,0.6598513011152416
1,DT,0.5,13.22820234298706,0.014501094818115234,0.48274030801911844
1,RF,0.5,23.193745136260986,0.9222092628479004,0.7052575677110993
1,KNN,0.5,0.00782012939453125,5.160358190536499,0.4164896441848115
1,BC,0.5,0.047829627990722656,0.13458824157714844,0.8494423791821561
1,LR,0.6,74.18985795974731,0.03354835510253906,0.7497344662772172
1,SVM,0.6,123.59961676597595,80.66149878501892,0.7207912904938927
1,MNB,0.6,0.14833903312683105,0.03276228904724121,0.6618428040361126
1,DT,0.6,15.004433155059814,0.01439666748046875,0.4985395645246946
1,RF,0.6,26.42521047592163,0.9563305377960205,0.7060541688794477
1,KNN,0.6,0.00908350944519043,6.236795663833618,0.44277748274030804
1,BC,0.6,0.05378913879394531,0.13669610023498535,0.8595326606479022
1,LR,0.7,87.7244484424591,0.03523826599121094,0.7608868826340945
