run,a,b,h,score_validation,score_test
0,0.01,0.75,1.75,0.9015377113781733,0.807886351566649
0,0.01,0.75,2.0,0.9017145460377668,0.8082846521508231
0,0.01,1.0,0.0,0.88810261411325,0.7938130642591609
0,0.01,1.0,0.25,0.8915496787790204,0.7972650026553372
0,0.01,1.0,0.5,0.8944662785368592,0.7996548061603823
0,0.01,1.0,0.75,0.8990624559231991,0.8046999468932554
0,0.01,1.0,1.0,0.9009188291404453,0.8073552841210834
0,0.01,1.0,1.25,0.9010957419417351,0.8070897503983006
0,0.01,1.0,1.5,0.9007421116933969,0.8076208178438662
0,0.01,1.0,1.75,0.9017145069669181,0.8081518852894317
0,0.01,1.0,2.0,0.9018913025556634,0.8082846521508231
0,0.01,1.25,0.0,0.8881909142305016,0.7940785979819437
0,0.01,1.25,0.25,0.8920800655452552,0.7973977695167286
0,0.01,1.25,0.5,0.8945546567958076,0.8000531067445565
0,0.01,1.25,0.75,0.8993276297708924,0.8048327137546468
0,0.01,1.25,1.0,0.9011838857755935,0.807222517259692
0,0.01,1.25,1.25,0.9011841202006835,0.807222517259692
0,0.01,1.25,1.5,0.9009188682112935,0.8076208178438662
0,0.01,1.25,1.75,0.9019796417437631,0.8082846521508231
0,0.01,1.25,2.0,0.9019796808146117,0.8082846521508231
0,0.01,1.5,0.0,0.88766068374766,0.7932819968135953
0,0.01,1.5,0.25,0.8922568220631518,0.7971322357939459
0,0.01,1.5,0.5,0.8948198697143491,0.800185873605948
0,0.01,1.5,0.75,0.8995044253596373,0.8046999468932554
0,0.01,1.5,1.0,0.9017142725418283,0.8069569835369091
0,0.01,1.5,1.25,0.9012724984596318,0.807222517259692
0,0.01,1.5,1.5,0.9011840420589868,0.8084174190122145
0,0.01,1.5,1.75,0.9020679809318631,0.8081518852894317
0,0.01,1.5,2.0,0.9018913025556632,0.8085501858736059
0,0.01,1.75,0.0,0.8874838881589152,0.7932819968135953
0,0.01,1.75,0.25,0.8921684438042036,0.7966011683483802
0,0.01,1.75,0.5,0.8947314523845524,0.8011152416356877
0,0.01,1.75,0.75,0.899327590700044,0.8049654806160382
0,0.01,1.75,1.0,0.9018026508007766,0.8066914498141264
0,0.01,1.75,1.25,0.9015377113781733,0.8069569835369091
0,0.01,1.75,1.5,0.9014492549775284,0.8090812533191716
0,0.01,1.75,1.75,0.9025982504855529,0.8085501858736059
0,0.01,1.75,2.0,0.9023331938504049,0.8089484864577802
0,0.01,2.0,0.0,0.8874839663006119,0.7931492299522039
0,0.01,2.0,0.25,0.8922569002048485,0.7971322357939459
0,0.01,2.0,0.5,0.8947314523845524,0.8008497079129049
0,0.01,2.0,0.75,0.8992392124410957,0.805231014338821
0,0.01,2.0,1.0,0.9018026117299283,0.8064259160913436
0,0.01,2.0,1.25,0.9018028461550183,0.8069569835369091
0,0.01,2.0,1.5,0.9014492159066801,0.8089484864577802
0,0.01,2.0,1.75,0.9023331547795564,0.8084174190122145
0,0.01,2.0,2.0,0.9021564373325083,0.8088157195963888
0,0.25,0.0,0.0,0.9071941153051062,0.8324482209240573
0,0.25,0.0,0.25,0.9126741534226259,0.8405469994689325
0,0.25,0.0,0.5,0.9153258137578615,0.8432023366967605
0,0.25,0.0,0.75,0.9160330351836896,0.8437334041423261
0,0.25,0.0,1.0,0.9159446959955897,0.8398831651619756
0,0.25,0.0,1.25,0.916033074254538,0.8368295273499734
0,0.25,0.0,1.5,0.9149723007220683,0.8321826872012745
0,0.25,0.0,1.75,0.9140001008027887,0.8311205523101434
0,0.25,0.0,2.0,0.9124976704006678,0.8285979819437068
0,0.25,0.25,0.0,0.9082548497667275,0.8347052575677111
0,0.25,0.25,0.25,0.9157677050526031,0.845724907063197
0,0.25,0.25,0.5,0.9187729565653286,0.8499734466277217
0,0.25,0.25,0.75,0.919656895438205,0.851035581518853
0,0.25,0.25,1.0,0.9204523779104363,0.8502389803505045
0,0.25,0.25,1.25,0.9202757386050848,0.8461232076473713
0,0.25,0.25,1.5,0.9195685953209534,0.8430695698353691
0,0.25,0.25,1.75,0.9186848518023188,0.8392193308550185
0,0.25,0.25,2.0,0.9173590607055491,0.8362984599044079
0,0.25,0.5,0.0,0.9104644625238283,0.8348380244291025
0,0.25,0.5,0.25,0.917888978621604,0.8495751460435476
0,0.25,0.5,0.5,0.9214246169005642,0.8552841210833776
0,0.25,0.5,0.75,0.9228387862562821,0.8562134891131173
0,0.25,0.5,1.0,0.9233692511642136,0.8555496548061604
0,0.25,0.5,1.25,0.9231041163873688,0.8543547530536378
0,0.25,0.5,1.5,0.9231040773165204,0.8511683483802442
0,0.25,0.5,1.75,0.9225738077628305,0.848380244291025
0,0.25,0.5,2.0,0.9213364730667062,0.8447955390334573
0,0.25,0.75,0.0,0.9128506755154323,0.8378916622411047
0,0.25,0.75,0.25,0.921247899453516,0.8539564524694636
0,0.25,0.75,0.5,0.9237226860583101,0.8601964949548593
0,0.25,0.75,0.75,0.9246948469067414,0.8599309612320765
0,0.25,0.75,1.0,0.9259323378862593,0.859798194370685
0,0.25,0.75,1.25,0.926727976641884,0.859798194370685
0,0.25,0.75,1.5,0.925932416027956,0.8596654275092936
0,0.25,0.75,1.75,0.9249602551795247,0.8574083908656399
0,0.25,0.75,2.0,0.9238112206006518,0.8531598513011153
0,0.25,1.0,0.0,0.912762297256484,0.8352363250132767
0,0.25,1.0,0.25,0.9223084776317438,0.8571428571428571
0,0.25,1.0,0.5,0.9260209505702977,0.8633828996282528
0,0.25,1.0,0.75,0.9274349245717737,0.8640467339352098
0,0.25,1.0,1.0,0.9273464291002803,0.8657727031332979
0,0.25,1.0,1.25,0.9281420678559051,0.8655071694105151
0,0.25,1.0,1.5,0.9284956199625466,0.8644450345193839
0,0.25,1.0,1.75,0.9279652722671601,0.8615241635687733
0,0.25,1.0,2.0,0.9270814896776771,0.8604620286776421
0,0.25,1.25,0.0,0.9073707546104577,0.8170472650026553
0,0.25,1.25,0.25,0.9228389034688271,0.8559479553903345
0,0.25,1.25,0.5,0.9283191760114369,0.8678969729155602
0,0.25,1.25,0.75,0.9295563153533195,0.8693574083908656
0,0.25,1.25,1.0,0.9305285543434476,0.8701540095592141
0,0.25,1.25,1.25,0.930086545836161,0.8700212426978227
0,0.25,1.25,1.5,0.9305283589892058,0.8690918746680828
0,0.25,1.25,1.75,0.9301748459534126,0.8673659054699947
0,0.25,1.25,2.0,0.9290259285870848,0.865108868826341
0,0.25,1.5,0.0,0.8637971863519276,0.7223844928305895
0,0.25,1.5,0.25,0.9190381304130218,0.8321826872012745
0,0.25,1.5,0.5,0.92884960184852,0.8623207647371216
0,0.25,1.5,0.75,0.930528710626841,0.8709506107275624
0,0.25,1.5,1.0,0.9325615668660452,0.8716144450345193
0,0.25,1.5,1.25,0.9316776279931689,0.8742697822623473
0,0.25,1.5,1.5,0.9313238414614371,0.8725438130642592
0,0.25,1.5,1.75,0.9311470458726923,0.8701540095592141
0,0.25,1.5,2.0,0.9300864676944643,0.8692246415294742
0,0.25,1.75,0.0,0.6574147679211144,0.45472650026553374
0,0.25,1.75,0.25,0.8833303444134352,0.7588953797132236
0,0.25,1.75,0.5,0.9227509549892107,0.8430695698353691
0,0.25,1.75,0.75,0.9298219189803445,0.8639139670738184
0,0.25,1.75,1.0,0.9320312191706586,0.870817843866171
0,0.25,1.75,1.25,0.9323846540647551,0.8714816781731279
0,0.25,1.75,1.5,0.931854228227672,0.8737387148167818
0,0.25,1.75,1.75,0.9313237633197406,0.873473181093999
0,0.25,1.75,2.0,0.9301747678117159,0.8725438130642592
0,0.25,2.0,0.0,0.30175049121824077,0.18321826872012745
0,0.25,2.0,0.25,0.7624179854054753,0.5865639936271907
0,0.25,2.0,0.5,0.8963230033917403,0.7874402549123739
0,0.25,2.0,0.75,0.9254024981119013,0.8481147105682422
0,0.25,2.0,1.0,0.9296449671082063,0.8649761019649496
0,0.25,2.0,1.25,0.9326499060541451,0.868162506638343
0,0.25,2.0,1.5,0.9321193239336687,0.8714816781731279
0,0.25,2.0,1.75,0.9315888590257371,0.8738714816781731
0,0.25,2.0,2.0,0.9307049982945574,0.8717472118959108
0,0.5,0.0,0.0,0.9127624535398775,0.8409453000531067
0,0.5,0.0,0.25,0.9147070487326785,0.8454593733404142
0,0.5,0.0,0.5,0.9164748483367344,0.8451938396176314
0,0.5,0.0,0.75,0.9151489790982682,0.842671269251195
0,0.5,0.0,1.0,0.9139116444021438,0.8388210302708444
0,0.5,0.0,1.25,0.9137352004510338,0.8349707912904939
0,0.5,0.0,1.5,0.9123211483078612,0.8328465215082316
0,0.5,0.0,1.75,0.9103767875401502,0.8308550185873605
0,0.5,0.0,2.0,0.9077252444174595,0.8271375464684015
0,0.5,0.25,0.0,0.913999905448547,0.8438661710037175
0,0.5,0.25,0.25,0.9206288609323945,0.8548858204992034
0,0.5,0.25,0.5,0.9230152692782404,0.8578066914498141
0,0.5,0.25,0.75,0.9227501345013955,0.8566117896972916
0,0.5,0.25,1.0,0.9231039991748237,0.8556824216675518
0,0.5,0.25,1.25,0.9222202165853407,0.8528943175783325
0,0.5,0.25,1.5,0.921513151442906,0.8511683483802442
0,0.5,0.25,1.75,0.9199223427818367,0.8467870419543282
0,0.5,0.25,2.0,0.9178011082836839,0.8433351035581519
0,0.5,0.5,0.0,0.9111715276662631,0.83935209771641
0,0.5,0.5,0.25,0.9223966605364506,0.8579394583112055
0,0.5,0.5,0.5,0.927346038391797,0.8657727031332979
0,0.5,0.5,0.75,0.9275231856181769,0.8653744025491238
0,0.5,0.5,1.0,0.9279650378420701,0.8656399362719065
0,0.5,0.5,1.25,0.9269045768763873,0.8635156664896442
0,0.5,0.5,1.5,0.9265509466280489,0.8615241635687733
0,0.5,0.5,1.75,0.9267277031459455,0.8593998937865109
0,0.5,0.5,2.0,0.925136855414028,0.8551513542219862
0,0.5,0.75,0.0,0.9050725682401669,0.8244822092405736
0,0.5,0.75,0.25,0.9226615608882055,0.8564790228359002
0,0.5,0.75,0.5,0.9287602468183632,0.8648433351035582
0,0.5,0.75,0.75,0.9307051545779508,0.8700212426978227
0,0.5,0.75,1.0,0.9315887418131922,0.8710833775889538
0,0.5,0.75,1.25,0.9299093204680844,0.8696229421136484
0,0.5,0.75,1.5,0.9283184336653184,0.868162506638343
0,0.5,0.75,1.75,0.9279649597003734,0.8657727031332979
0,0.5,0.75,2.0,0.926992564426852,0.8648433351035582
0,0.5,1.0,0.0,0.8754633900290413,0.7770844397238449
0,0.5,1.0,0.25,0.9167396314759444,0.8433351035581519
0,0.5,1.0,0.5,0.927699863994377,0.8627190653212958
0,0.5,1.0,0.75,0.9298209812799844,0.8676314391927775
0,0.5,1.0,1.0,0.9306164246813674,0.8726765799256505
0,0.5,1.0,1.25,0.9311466160933606,0.8705523101433882
0,0.5,1.0,1.5,0.9307046857277708,0.870817843866171
0,0.5,1.0,1.75,0.9295556511488978,0.8702867764206054
0,0.5,1.0,2.0,0.929025498807753,0.8672331386086033
0,0.5,1.25,0.0,0.7082379320893957,0.5682421667551779
0,0.5,1.25,0.25,0.8861581752038423,0.7843866171003717
0,0.5,1.25,0.5,0.917358591855369,0.8458576739245884
0,0.5,1.25,0.75,0.9256668905426275,0.8603292618162507
0,0.5,1.25,1.0,0.9281416771474218,0.8653744025491238
0,0.5,1.25,1.25,0.92840673378257,0.8682952734997345
0,0.5,1.25,1.5,0.9296440684786944,0.8686935740839087
0,0.5,1.25,1.75,0.9298208640674395,0.8693574083908656
0,0.5,1.25,2.0,0.9295557292905945,0.8684280403611259
0,0.5,1.5,0.0,0.23687467595615158,0.1735262878385555
0,0.5,1.5,0.25,0.6553823805320903,0.5165958576739246
0,0.5,1.5,0.5,0.8635319343625376,0.7565055762081785
0,0.5,1.5,0.75,0.9093153498032589,0.8327137546468402
0,0.5,1.5,1.0,0.9200985523078564,0.8538236856080722
0,0.5,1.5,1.25,0.9231035693954919,0.8576739245884227
0,0.5,1.5,1.5,0.9244293214214132,0.8607275624004248
0,0.5,1.5,1.75,0.9244294777048065,0.8617896972915561
0,0.5,1.5,2.0,0.9246944952691065,0.8620552310143388
0,0.5,1.75,0.0,0.07141615806189838,0.06147105682421668
0,0.5,1.75,0.25,0.22573764784897396,0.16728624535315986
0,0.5,1.75,0.5,0.6169343996549262,0.4867233138608603
0,0.5,1.75,0.75,0.8272935271716261,0.7126925119490175
0,0.5,1.75,1.0,0.8896938525536511,0.8102761550716941
0,0.5,1.75,1.25,0.9098458928528871,0.8384227296866702
0,0.5,1.75,1.5,0.9135577797287155,0.8458576739245884
0,0.5,1.75,1.75,0.9147951534956883,0.8499734466277217
0,0.5,1.75,2.0,0.9155020232838813,0.8524960169941582
0,0.5,2.0,0.0,0.04056941072955823,0.038767923526287836
0,0.5,2.0,0.25,0.0738907883832991,0.06253319171534785
0,0.5,2.0,0.5,0.23006865138762073,0.17365905469994689
0,0.5,2.0,0.75,0.5806957580389248,0.4656133828996282
0,0.5,2.0,1.0,0.7863707987605164,0.6761816250663835
0,0.5,2.0,1.25,0.8623820011541529,0.7773499734466277
0,0.5,2.0,1.5,0.8894286005642613,0.8146574614976102
0,0.5,2.0,1.75,0.8976483256383296,0.8317843866171004
0,0.5,2.0,2.0,0.9011835732088066,0.8374933616569304
0,0.75,0.0,0.0,0.9120555056099878,0.8408125331917153
0,0.75,0.0,0.25,0.9146186704737301,0.841343600637281
0,0.75,0.0,0.5,0.9124976313298193,0.8377588953797133
0,0.75,0.0,0.75,0.9125861658721609,0.8347052575677111
0,0.75,0.0,1.0,0.9097579443732704,0.8307222517259693
0,0.75,0.0,1.25,0.9075484488287145,0.8268720127456187
0,0.75,0.0,1.5,0.9049852058232755,0.8244822092405736
0,0.75,0.0,1.75,0.9033059798324095,0.820631970260223
0,0.75,0.0,2.0,0.901891732334995,0.8163834306956984
0,0.75,0.25,0.0,0.9161213353009412,0.8465215082315454
0,0.75,0.25,0.25,0.920894073850936,0.8572756240042485
0,0.75,0.25,0.5,0.9225734561251956,0.8582049920339884
0,0.75,0.25,0.75,0.9225734561251956,0.8572756240042485
0,0.75,0.25,1.0,0.9216895953940158,0.8546202867764207
0,0.75,0.25,1.25,0.9205405608151429,0.8516994158258099
0,0.75,0.25,1.5,0.9188615301785186,0.8485130111524164
0,0.75,0.25,1.75,0.9173590216347008,0.8446627721720659
0,0.75,0.25,2.0,0.9157680957610864,0.8410780669144982
0,0.75,0.5,0.0,0.8995927645477373,0.8280669144981413
0,0.75,0.5,0.25,0.9189495177289835,0.8520977164099841
0,0.75,0.5,0.5,0.9243410213041615,0.8612586298459904
0,0.75,0.5,0.75,0.9262856164969625,0.8640467339352098
0,0.75,0.5,1.0,0.9261086646248241,0.8625862984599044
0,0.75,0.5,1.25,0.9249597472584963,0.8617896972915561
0,0.75,0.5,1.5,0.9248712908578514,0.8590015932023367
0,0.75,0.5,1.75,0.9246946906233481,0.8571428571428571
0,0.75,0.5,2.0,0.9238992081511167,0.8562134891131173
0,0.75,0.75,0.0,0.8436445599899665,0.7580987785448752
0,0.75,0.75,0.25,0.8960574779064121,0.8244822092405736
0,0.75,0.75,0.5,0.9136463924127538,0.8511683483802442
0,0.75,0.75,0.75,0.9221312913345157,0.8590015932023367
0,0.75,0.75,1.0,0.9253127914441095,0.8620552310143388
0,0.75,0.75,1.25,0.9251359177136678,0.8623207647371216
0,0.75,0.75,1.5,0.9237219046413433,0.8616569304301647
0,0.75,0.75,1.75,0.9231032958995534,0.8609930961232076
0,0.75,0.75,2.0,0.9230149567114536,0.8601964949548593
0,0.75,1.0,0.0,0.6172005112029797,0.5189856611789697
0,0.75,1.0,0.25,0.8152729509000556,0.7247742963356346
0,0.75,1.0,0.5,0.8782031941981353,0.8094795539033457
0,0.75,1.0,0.75,0.9025977816353729,0.8382899628252788
0,0.75,1.0,1.0,0.9132925668101738,0.8486457780138078
0,0.75,1.0,1.25,0.9160322928375711,0.852761550716941
0,0.75,1.0,1.5,0.9167393970508542,0.8548858204992034
0,0.75,1.0,1.75,0.9181535273357235,0.8564790228359002
0,0.75,1.0,2.0,0.9170930272991924,0.8564790228359002
0,0.75,1.25,0.0,0.24527240781526363,0.1970260223048327
0,0.75,1.25,0.25,0.5319969931075116,0.44702602230483274
0,0.75,1.25,0.5,0.7609163364203211,0.6601168348380244
0,0.75,1.25,0.75,0.8505384548964173,0.7716409984067977
0,0.75,1.25,1.0,0.88359477591501,0.8182421667551779
0,0.75,1.25,1.25,0.8987090600999512,0.832979288369623
0,0.75,1.25,1.5,0.9029514509545594,0.838024429102496
0,0.75,1.25,1.75,0.9034817205082492,0.8409453000531067
0,0.75,1.25,2.0,0.9049842290520669,0.8430695698353691
0,0.75,1.5,0.0,0.08697159119546247,0.07156133828996282
0,0.75,1.5,0.25,0.18384342279385477,0.14684014869888476
0,0.75,1.5,0.5,0.4242540886666018,0.34944237918215615
0,0.75,1.5,0.75,0.6657242778046715,0.5694370685077005
0,0.75,1.5,1.0,0.7983914922446319,0.7157461497610197
0,0.75,1.5,1.25,0.8551348276369991,0.7857142857142857
