epoch,score,loss,model,run
21.0,0.3862,1.7784292697906494,SoftMax,0
22.0,0.3867,1.7468441724777222,SoftMax,0
23.0,0.3896,1.7467607259750366,SoftMax,0
24.0,0.3911,1.7563681602478027,SoftMax,0
25.0,0.3945,1.7457218170166016,SoftMax,0
26.0,0.3832,1.761441946029663,SoftMax,0
27.0,0.4034,1.720932960510254,SoftMax,0
28.0,0.398,1.7312829494476318,SoftMax,0
29.0,0.387,1.756251573562622,SoftMax,0
30.0,0.3782,1.7799755334854126,SoftMax,0
31.0,0.3779,1.77772855758667,SoftMax,0
32.0,0.3961,1.7361751794815063,SoftMax,0
33.0,0.3923,1.7445906400680542,SoftMax,0
34.0,0.3964,1.7380414009094238,SoftMax,0
35.0,0.3925,1.7452062368392944,SoftMax,0
36.0,0.4006,1.7310264110565186,SoftMax,0
37.0,0.4013,1.727036476135254,SoftMax,0
38.0,0.393,1.7336597442626953,SoftMax,0
39.0,0.3901,1.7564972639083862,SoftMax,0
40.0,0.3943,1.758710503578186,SoftMax,0
41.0,0.3893,1.750714659690857,SoftMax,0
42.0,0.4017,1.7247384786605835,SoftMax,0
43.0,0.3899,1.7482820749282837,SoftMax,0
44.0,0.4027,1.7230108976364136,SoftMax,0
45.0,0.3901,1.769317626953125,SoftMax,0
46.0,0.4013,1.7323757410049438,SoftMax,0
47.0,0.3918,1.7376441955566406,SoftMax,0
48.0,0.388,1.768070101737976,SoftMax,0
49.0,0.3918,1.7576675415039062,SoftMax,0
50.0,0.3823,1.7783395051956177,SoftMax,0
51.0,0.3923,1.7455079555511475,SoftMax,0
52.0,0.4005,1.732835292816162,SoftMax,0
53.0,0.4014,1.7400009632110596,SoftMax,0
54.0,0.3914,1.7486580610275269,SoftMax,0
55.0,0.4073,1.7201181650161743,SoftMax,0
56.0,0.4033,1.7305024862289429,SoftMax,0
57.0,0.4015,1.7336747646331787,SoftMax,0
58.0,0.3987,1.7308841943740845,SoftMax,0
59.0,0.3965,1.7348605394363403,SoftMax,0
60.0,0.4042,1.7272924184799194,SoftMax,0
61.0,0.3805,1.7828302383422852,SoftMax,0
62.0,0.3892,1.75325345993042,SoftMax,0
63.0,0.3815,1.7748793363571167,SoftMax,0
64.0,0.3956,1.7553209066390991,SoftMax,0
65.0,0.3981,1.7457290887832642,SoftMax,0
66.0,0.403,1.732026219367981,SoftMax,0
67.0,0.3949,1.7440215349197388,SoftMax,0
68.0,0.4035,1.7279144525527954,SoftMax,0
69.0,0.4026,1.7402297258377075,SoftMax,0
70.0,0.4013,1.7370078563690186,SoftMax,0
71.0,0.3927,1.7503129243850708,SoftMax,0
72.0,0.398,1.738572597503662,SoftMax,0
73.0,0.3969,1.7468386888504028,SoftMax,0
74.0,0.3977,1.7443517446517944,SoftMax,0
75.0,0.3911,1.761160135269165,SoftMax,0
76.0,0.3924,1.7559744119644165,SoftMax,0
77.0,0.3963,1.741949439048767,SoftMax,0
78.0,0.3947,1.7384635210037231,SoftMax,0
79.0,0.3956,1.7468842267990112,SoftMax,0
80.0,0.4079,1.7254705429077148,SoftMax,0
81.0,0.4035,1.7296644449234009,SoftMax,0
82.0,0.3863,1.7497140169143677,SoftMax,0
83.0,0.3949,1.7591816186904907,SoftMax,0
84.0,0.3927,1.7429683208465576,SoftMax,0
85.0,0.3971,1.7440977096557617,SoftMax,0
86.0,0.397,1.745379090309143,SoftMax,0
87.0,0.3954,1.7537113428115845,SoftMax,0
88.0,0.383,1.7788007259368896,SoftMax,0
89.0,0.3915,1.7589234113693237,SoftMax,0
90.0,0.4051,1.7334035634994507,SoftMax,0
91.0,0.3841,1.780901312828064,SoftMax,0
92.0,0.3991,1.740243911743164,SoftMax,0
93.0,0.402,1.7381922006607056,SoftMax,0
94.0,0.3977,1.7393925189971924,SoftMax,0
95.0,0.3976,1.75502347946167,SoftMax,0
96.0,0.3995,1.7298446893692017,SoftMax,0
97.0,0.3853,1.7654802799224854,SoftMax,0
98.0,0.3985,1.7334519624710083,SoftMax,0
99.0,0.3941,1.7485138177871704,SoftMax,0
100.0,0.4,1.7406818866729736,SoftMax,0
1.0,0.2022,2.291337490081787,BC,0
2.0,0.2022,2.291337490081787,BC,0
3.0,0.2022,2.291337490081787,BC,0
4.0,0.2022,2.291337490081787,BC,0
5.0,0.2022,2.291337490081787,BC,0
6.0,0.2022,2.291337490081787,BC,0
7.0,0.2022,2.291337490081787,BC,0
8.0,0.2022,2.291337490081787,BC,0
9.0,0.2022,2.291337490081787,BC,0
10.0,0.2022,2.291337490081787,BC,0
11.0,0.2022,2.291337490081787,BC,0
12.0,0.2022,2.291337490081787,BC,0
13.0,0.2022,2.291337490081787,BC,0
14.0,0.2022,2.291337490081787,BC,0
15.0,0.2022,2.291337490081787,BC,0
16.0,0.2022,2.291337490081787,BC,0
17.0,0.2022,2.291337490081787,BC,0
18.0,0.2022,2.291337490081787,BC,0
19.0,0.2022,2.291337490081787,BC,0
20.0,0.2022,2.291337490081787,BC,0
21.0,0.2022,2.291337490081787,BC,0
22.0,0.2022,2.291337490081787,BC,0
23.0,0.2022,2.291337490081787,BC,0
24.0,0.2022,2.291337490081787,BC,0
25.0,0.2022,2.291337490081787,BC,0
26.0,0.2022,2.291337490081787,BC,0
27.0,0.2022,2.291337490081787,BC,0
28.0,0.2022,2.291337490081787,BC,0
29.0,0.2022,2.291337490081787,BC,0
30.0,0.2022,2.291337490081787,BC,0
31.0,0.2022,2.291337490081787,BC,0
32.0,0.2022,2.291337490081787,BC,0
33.0,0.2022,2.291337490081787,BC,0
34.0,0.2022,2.291337490081787,BC,0
35.0,0.2022,2.291337490081787,BC,0
36.0,0.2022,2.291337490081787,BC,0
37.0,0.2022,2.291337490081787,BC,0
38.0,0.2022,2.291337490081787,BC,0
39.0,0.2022,2.291337490081787,BC,0
40.0,0.2022,2.291337490081787,BC,0
41.0,0.2022,2.291337490081787,BC,0
42.0,0.2022,2.291337490081787,BC,0
43.0,0.2022,2.291337490081787,BC,0
44.0,0.2022,2.291337490081787,BC,0
45.0,0.2022,2.291337490081787,BC,0
46.0,0.2022,2.291337490081787,BC,0
47.0,0.2022,2.291337490081787,BC,0
48.0,0.2022,2.291337490081787,BC,0
49.0,0.2022,2.291337490081787,BC,0
50.0,0.2022,2.291337490081787,BC,0
51.0,0.2022,2.291337490081787,BC,0
52.0,0.2022,2.291337490081787,BC,0
53.0,0.2022,2.291337490081787,BC,0
54.0,0.2022,2.291337490081787,BC,0
55.0,0.2022,2.291337490081787,BC,0
56.0,0.2022,2.291337490081787,BC,0
57.0,0.2022,2.291337490081787,BC,0
58.0,0.2022,2.291337490081787,BC,0
59.0,0.2022,2.291337490081787,BC,0
60.0,0.2022,2.291337490081787,BC,0
61.0,0.2022,2.291337490081787,BC,0
62.0,0.2022,2.291337490081787,BC,0
63.0,0.2022,2.291337490081787,BC,0
64.0,0.2022,2.291337490081787,BC,0
65.0,0.2022,2.291337490081787,BC,0
66.0,0.2022,2.291337490081787,BC,0
67.0,0.2022,2.291337490081787,BC,0
68.0,0.2022,2.291337490081787,BC,0
69.0,0.2022,2.291337490081787,BC,0
70.0,0.2022,2.291337490081787,BC,0
71.0,0.2022,2.291337490081787,BC,0
72.0,0.2022,2.291337490081787,BC,0
73.0,0.2022,2.291337490081787,BC,0
74.0,0.2022,2.291337490081787,BC,0
75.0,0.2022,2.291337490081787,BC,0
76.0,0.2022,2.291337490081787,BC,0
77.0,0.2022,2.291337490081787,BC,0
78.0,0.2022,2.291337490081787,BC,0
79.0,0.2022,2.291337490081787,BC,0
80.0,0.2022,2.291337490081787,BC,0
81.0,0.2022,2.291337490081787,BC,0
82.0,0.2022,2.291337490081787,BC,0
83.0,0.2022,2.291337490081787,BC,0
84.0,0.2022,2.291337490081787,BC,0
85.0,0.2022,2.291337490081787,BC,0
86.0,0.2022,2.291337490081787,BC,0
87.0,0.2022,2.291337490081787,BC,0
88.0,0.2022,2.291337490081787,BC,0
89.0,0.2022,2.291337490081787,BC,0
90.0,0.2022,2.291337490081787,BC,0
91.0,0.2022,2.291337490081787,BC,0
92.0,0.2022,2.291337490081787,BC,0
93.0,0.2022,2.291337490081787,BC,0
94.0,0.2022,2.291337490081787,BC,0
95.0,0.2022,2.291337490081787,BC,0
96.0,0.2022,2.291337490081787,BC,0
97.0,0.2022,2.291337490081787,BC,0
98.0,0.2022,2.291337490081787,BC,0
99.0,0.2022,2.291337490081787,BC,0
100.0,0.2022,2.291337490081787,BC,0
1.0,0.1334,2.268343687057495,BC+Born,0
