epoch,score,loss,model,run
1.0,0.6197916666666666,0.7355581190191335,Born,0
2.0,0.65625,0.6811186307936904,Born,0
3.0,0.6822916666666666,0.6656117290901603,Born,0
4.0,0.6822916666666666,0.6378735179877989,Born,0
5.0,0.703125,0.6445824896257114,Born,0
6.0,0.6979166666666666,0.6069453402306447,Born,0
7.0,0.7083333333333334,0.5830211769011919,Born,0
8.0,0.7135416666666666,0.5729195640920408,Born,0
9.0,0.71875,0.5569891285286522,Born,0
10.0,0.7239583333333334,0.5498605259454874,Born,0
11.0,0.7395833333333334,0.5349499879720753,Born,0
12.0,0.7447916666666666,0.5240993708941073,Born,0
13.0,0.7552083333333334,0.5124778560028327,Born,0
14.0,0.7604166666666666,0.5046031769186697,Born,0
15.0,0.7916666666666666,0.49662617884775884,Born,0
16.0,0.7708333333333334,0.4897187912259999,Born,0
17.0,0.7864583333333334,0.4820151691852901,Born,0
18.0,0.8020833333333334,0.47573954989596773,Born,0
19.0,0.8177083333333334,0.4653914513065165,Born,0
20.0,0.8125,0.4577525393698696,Born,0
21.0,0.8229166666666666,0.44761193142507044,Born,0
22.0,0.828125,0.4512058124931819,Born,0
23.0,0.8333333333333334,0.4339514676451724,Born,0
24.0,0.8229166666666666,0.434505362124848,Born,0
25.0,0.8229166666666666,0.4192279618612021,Born,0
26.0,0.8489583333333334,0.40565129360081625,Born,0
27.0,0.84375,0.39428416276810396,Born,0
28.0,0.8645833333333334,0.385971401279762,Born,0
29.0,0.8645833333333334,0.36811076982277674,Born,0
30.0,0.8697916666666666,0.3540113096249655,Born,0
31.0,0.9114583333333334,0.336828110095255,Born,0
32.0,0.9010416666666666,0.3125425330921201,Born,0
33.0,0.921875,0.2893925992431132,Born,0
34.0,0.96875,0.25626635367595096,Born,0
35.0,0.9583333333333334,0.2281418199335058,Born,0
36.0,0.9895833333333334,0.18665153544629767,Born,0
37.0,0.9739583333333334,0.16339494681150696,Born,0
38.0,0.9739583333333334,0.11541394784514468,Born,0
39.0,0.9739583333333334,0.08577591683668422,Born,0
40.0,0.9739583333333334,0.09007145983560881,Born,0
41.0,0.9739583333333334,0.08644645729747463,Born,0
42.0,0.9739583333333334,0.06627675040190141,Born,0
43.0,0.9739583333333334,0.06744039613681686,Born,0
44.0,0.9739583333333334,0.06792304668670264,Born,0
45.0,0.9739583333333334,0.07163416627440995,Born,0
46.0,0.9739583333333334,0.07206020834682957,Born,0
47.0,0.9739583333333334,0.07293969935912935,Born,0
48.0,0.9739583333333334,0.06881327526685176,Born,0
49.0,0.9739583333333334,0.07011069714974388,Born,0
50.0,0.9739583333333334,0.06973141469422046,Born,0
51.0,0.9739583333333334,0.08112375495140259,Born,0
52.0,0.9739583333333334,0.06993509770802835,Born,0
53.0,0.9739583333333334,0.0724976443351104,Born,0
54.0,0.9739583333333334,0.0725273013431081,Born,0
55.0,0.9739583333333334,0.06991536404150815,Born,0
56.0,0.9739583333333334,0.06943217008587745,Born,0
57.0,0.9739583333333334,0.07143400752457511,Born,0
58.0,0.9739583333333334,0.07616482268935797,Born,0
59.0,0.9739583333333334,0.07174170175486454,Born,0
60.0,0.9739583333333334,0.07501953692400502,Born,0
61.0,0.9739583333333334,0.07300138492235,Born,0
62.0,0.9739583333333334,0.07714579724485325,Born,0
63.0,0.9739583333333334,0.07297036171959485,Born,0
64.0,0.9739583333333334,0.08776245435394386,Born,0
65.0,0.9739583333333334,0.07424683303717428,Born,0
66.0,0.9739583333333334,0.07957741007919018,Born,0
67.0,0.9739583333333334,0.0972349304281544,Born,0
68.0,0.9739583333333334,0.07149781091438705,Born,0
69.0,0.9739583333333334,0.0751651927865706,Born,0
70.0,0.9739583333333334,0.06973520082583634,Born,0
71.0,0.9739583333333334,0.07597106137431177,Born,0
72.0,0.9739583333333334,0.07016091544384803,Born,0
73.0,0.9739583333333334,0.07387744169626713,Born,0
74.0,0.9739583333333334,0.06814038561358572,Born,0
75.0,0.9739583333333334,0.07087383941887165,Born,0
76.0,0.9739583333333334,0.07521051378642638,Born,0
77.0,0.9739583333333334,0.06810868628365518,Born,0
78.0,0.9739583333333334,0.0775462108611532,Born,0
79.0,0.9739583333333334,0.07641726069694482,Born,0
80.0,0.9739583333333334,0.07301570194440159,Born,0
81.0,0.9739583333333334,0.07701821476433605,Born,0
82.0,0.9739583333333334,0.07495792669028062,Born,0
83.0,0.9739583333333334,0.07637693594969461,Born,0
84.0,0.9739583333333334,0.07778370548672456,Born,0
85.0,0.9739583333333334,0.07225935409670038,Born,0
86.0,0.9739583333333334,0.08148169640695568,Born,0
87.0,0.9739583333333334,0.08257716072363037,Born,0
88.0,0.9739583333333334,0.07268364576334864,Born,0
89.0,0.9739583333333334,0.06991372846010258,Born,0
90.0,0.9739583333333334,0.07271030266318215,Born,0
91.0,0.9739583333333334,0.07847030522174987,Born,0
92.0,0.9739583333333334,0.07454942992314482,Born,0
93.0,0.9739583333333334,0.0738917114612411,Born,0
94.0,0.9739583333333334,0.07799958700767702,Born,0
95.0,0.9739583333333334,0.07129211402606365,Born,0
96.0,0.9739583333333334,0.07306501419496995,Born,0
97.0,0.9739583333333334,0.07568667621385546,Born,0
98.0,0.9739583333333334,0.0733460711173106,Born,0
99.0,0.9739583333333334,0.07243388352570818,Born,0
100.0,0.9739583333333334,0.07357613449875361,Born,0
1.0,0.609375,0.6559916135237406,SoftMax,0
2.0,0.6458333333333334,0.6243475987732484,SoftMax,0
3.0,0.6822916666666666,0.6006462175635617,SoftMax,0
4.0,0.703125,0.5842426983643936,SoftMax,0
5.0,0.703125,0.5704339849793258,SoftMax,0
6.0,0.734375,0.5611112494428185,SoftMax,0
7.0,0.7395833333333334,0.552691303727345,SoftMax,0
8.0,0.7395833333333334,0.5462609103740873,SoftMax,0
9.0,0.734375,0.5411267461091118,SoftMax,0
10.0,0.734375,0.5354829509267878,SoftMax,0
11.0,0.734375,0.5316953406194138,SoftMax,0
12.0,0.734375,0.5276539855814589,SoftMax,0
13.0,0.71875,0.523188226939066,SoftMax,0
14.0,0.7239583333333334,0.5193570073809013,SoftMax,0
15.0,0.734375,0.5161996909767689,SoftMax,0
16.0,0.7291666666666666,0.5125288093970983,SoftMax,0
17.0,0.703125,0.5077198979928476,SoftMax,0
18.0,0.7083333333333334,0.5048835105166956,SoftMax,0
19.0,0.7239583333333334,0.5010773451528941,SoftMax,0
20.0,0.7291666666666666,0.4977254041370153,SoftMax,0
21.0,0.7239583333333334,0.49401999104616645,SoftMax,0
22.0,0.7291666666666666,0.4908755598818401,SoftMax,0
23.0,0.7083333333333334,0.4869116173004416,SoftMax,0
24.0,0.7239583333333334,0.48293716661446767,SoftMax,0
